open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore,open_datetime,close_datetime
1773314048000,70398.93,70398.94,70398.93,70398.93,0.02329,1773314048999,1639.5910826,7,0.00029,20.4156926,0,2026-03-12 11:14:08+00:00,2026-03-12 11:14:08.999000+00:00
1773314049000,70398.93,70413.92,70398.93,70413.92,1.50301,1773314049999,105814.9376942,373,1.50285,105803.6738654,0,2026-03-12 11:14:09+00:00,2026-03-12 11:14:09.999000+00:00
1773314050000,70414.2,70419.96,70414.2,70419.96,0.30651,1773314050999,21583.59667,184,0.23521,16562.654235,0,2026-03-12 11:14:10+00:00,2026-03-12 11:14:10.999000+00:00
1773314051000,70419.95,70419.95,70419.95,70419.95,0.13288,1773314051999,9357.402956,3,0.0,0.0,0,2026-03-12 11:14:11+00:00,2026-03-12 11:14:11.999000+00:00
1773314052000,70419.96,70419.96,70419.96,70419.96,0.00119,1773314052999,83.7997524,1,0.00119,83.7997524,0,2026-03-12 11:14:12+00:00,2026-03-12 11:14:12.999000+00:00
1773314053000,70419.95,70419.95,70409.52,70409.52,0.1823,1773314053999,12836.7757142,200,0.0,0.0,0,2026-03-12 11:14:13+00:00,2026-03-12 11:14:13.999000+00:00
1773314054000,70409.53,70409.53,70409.52,70409.52,0.07284,1773314054999,5128.6294548,5,0.0018,126.737154,0,2026-03-12 11:14:14+00:00,2026-03-12 11:14:14.999000+00:00
1773314055000,70409.52,70409.53,70409.52,70409.52,0.10345,1773314055999,7283.8648469,7,0.00029,20.4187637,0,2026-03-12 11:14:15+00:00,2026-03-12 11:14:15.999000+00:00
1773314056000,70409.52,70409.53,70409.52,70409.53,0.07741,1773314056999,5450.4009497,18,0.00065,45.7661945,0,2026-03-12 11:14:16+00:00,2026-03-12 11:14:16.999000+00:00
1773314057000,70409.53,70411.57,70409.53,70411.57,0.35481,1773314057999,24982.6204532,57,0.35481,24982.6204532,0,2026-03-12 11:14:17+00:00,2026-03-12 11:14:17.999000+00:00
1773314058000,70411.57,70411.57,70411.57,70411.57,0.05896,1773314058999,4151.4661672,4,0.05896,4151.4661672,0,2026-03-12 11:14:18+00:00,2026-03-12 11:14:18.999000+00:00
1773314059000,70411.56,70411.57,70411.56,70411.57,0.06921,1773314059999,4873.1846644,5,0.05968,4202.1624976,0,2026-03-12 11:14:19+00:00,2026-03-12 11:14:19.999000+00:00
1773314060000,70411.56,70411.56,70411.56,70411.56,0.00014,1773314060999,9.8576184,1,0.0,0.0,0,2026-03-12 11:14:20+00:00,2026-03-12 11:14:20.999000+00:00
1773314061000,70411.57,70413.32,70411.57,70413.32,0.09028,1773314061999,6356.822586,59,0.09028,6356.822586,0,2026-03-12 11:14:21+00:00,2026-03-12 11:14:21.999000+00:00
1773314062000,70413.31,70413.31,70413.31,70413.31,0.03191,1773314062999,2246.8887221,2,0.0,0.0,0,2026-03-12 11:14:22+00:00,2026-03-12 11:14:22.999000+00:00
1773314063000,70413.32,70413.32,70413.32,70413.32,0.00061,1773314063999,42.9521252,2,0.00061,42.9521252,0,2026-03-12 11:14:23+00:00,2026-03-12 11:14:23.999000+00:00
1773314064000,70413.32,70413.32,70413.32,70413.32,0.0,1773314064999,0.0,0,0.0,0.0,0,2026-03-12 11:14:24+00:00,2026-03-12 11:14:24.999000+00:00
1773314065000,70413.32,70414.76,70413.32,70414.76,0.02774,1773314065999,1953.2805523,84,0.02774,1953.2805523,0,2026-03-12 11:14:25+00:00,2026-03-12 11:14:25.999000+00:00
1773314066000,70414.99,70414.99,70414.99,70414.99,0.00212,1773314066999,149.2797788,1,0.0,0.0,0,2026-03-12 11:14:26+00:00,2026-03-12 11:14:26.999000+00:00
1773314067000,70414.99,70414.99,70414.99,70414.99,0.0,1773314067999,0.0,0,0.0,0.0,0,2026-03-12 11:14:27+00:00,2026-03-12 11:14:27.999000+00:00
1773314068000,70414.99,70415.0,70414.99,70415.0,0.04613,1773314068999,3248.243941,2,0.04523,3184.87045,0,2026-03-12 11:14:28+00:00,2026-03-12 11:14:28.999000+00:00
1773314069000,70414.99,70415.0,70414.99,70415.0,0.13487,1773314069999,9496.8697027,9,0.00014,9.8581,0,2026-03-12 11:14:29+00:00,2026-03-12 11:14:29.999000+00:00
1773314070000,70415.0,70415.0,70415.0,70415.0,0.0,1773314070999,0.0,0,0.0,0.0,0,2026-03-12 11:14:30+00:00,2026-03-12 11:14:30.999000+00:00
1773314071000,70414.99,70415.0,70414.99,70415.0,0.06716,1773314071999,4729.0713986,3,0.06702,4719.2133,0,2026-03-12 11:14:31+00:00,2026-03-12 11:14:31.999000+00:00
1773314072000,70414.99,70414.99,70414.99,70414.99,0.00048,1773314072999,33.7991952,1,0.0,0.0,0,2026-03-12 11:14:32+00:00,2026-03-12 11:14:32.999000+00:00
1773314073000,70414.99,70414.99,70414.99,70414.99,0.00065,1773314073999,45.7697435,2,0.0,0.0,0,2026-03-12 11:14:33+00:00,2026-03-12 11:14:33.999000+00:00
1773314074000,70415.0,70415.0,70415.0,70415.0,0.0005,1773314074999,35.2075,1,0.0005,35.2075,0,2026-03-12 11:14:34+00:00,2026-03-12 11:14:34.999000+00:00
